1) The front building 
a part 1) Rooftop in front
1 699 776 805.8 822 0
1 769 746 815.8 612 0
1 780 746 815.9 612 0
1 838 778 825.9 822 0

a part 2) Rooftop (on the left)
2 850 810 805.8 822 50
2 896 787 815.8 612 50
2 938 788 815.8 612 0
2 926 810 805.8 822 0
 
a part 3) Rooftop (on the right)
3 850 810 825.9 822 0
3 896 787 815.9 612 0
3 938 788 815.8 612 50
3 926 810 825.9 822 50

b part 1) The building (front)
4 705 852 805.8 842 0
4 706 783 805.8 822 0
4 835 785 825.9 822 0
4 836 856 825.9 842 0

b part 2) The building (left)
5 852 854 805.8 842 50
5 853 810 805.8 822 50
5 970 815 805.8 822 0
5 973 850 805.8 842 0

b part 3) The building (right)
6 852 854 825.9 842 0
6 853 810 805.8 822 0
6 970 815 825.9 822 50
6 973 850 825.9 842 50


